Italian,English
non/non,Not
di/di,Of
che/che,That
è/essere,And
e/e,And
la/la,there
il/il,The
un/un,a
a/a,to
per/per,For
in/in,in
una/una,a
mi/mi,me
sono/essere,I am
ho/avere,I have
ma/ma,but
l'/la / lo,the
lo/lo,the
ha/avere,has
le/le,the
si/si,Yes
ti/ti,you
i/i,the
con/con,with
cosa/cosa,What
se/se,self
io/io,I
come/come,as
da/da,from
ci/ci,There
no/no,no
questo/questo,This
qui/qui,here
e'/essere,And'
hai/avere,you have
sei/essere,six
del/di + il,of the
bene/bene,Well
tu/tu,you
sì/sì,Yes
me/me,myself
più/più,more
al/a + il,to the
mio/mio,my
c'/ci,there
perché/per + ché,Why
lei/lei,she
solo/solo,Alone
te/te,you
era/essere,era
gli/gli,The
tutto/tutto,All
della/di + la,from the
così/così,Like this
mia/mia,my
ne/ne,neither
questa/questa,this
fare/fare,Do
quando/quando,when
ora/ora,Now
fatto/fare,Done
essere/essere,to be
so/sapere,I know
mai/mai,never
chi/chi,who
o/o,or
alla/a + la,at the
tutti/tutto,everyone
molto/molto,Very
dei/di + i,of the
anche/anche,Also
detto/dire,said
quello/quello,that
va/andare,it goes
niente/niente,Nothing
grazie/grazie,Thank you
lui/lui,he
voglio/volere,I want
abbiamo/avere,we have
stato/stato,state
nel/in + il,In the
suo/suo,his
dove/dove,Where
posso/potere,I can
oh/oh! (interjection),Oh
prima/prima,Before
allora/allora,At that time
siamo/essere,we are
d'/di,d '
uno/uno,one
un'/una,a
sua/suo,her
tuo/tuo,your
hanno/avere,they have
noi/noi,we
sta/stare,is
fa/fare,does
due/due,two
vuoi/volere,you want
ancora/ancora,Still
qualcosa/qualcosa,something
vero/vero,True
casa/casa,home
sia/essere,is
su/su,on
tua/tuo,your
sempre/sempre,Always
forse/forse,Perhaps
dire/dire,to say
vi/vi,you
loro/loro,They
i'/i,the'
altro/altro,other
sai/sapere,you know
stai/stare,you are
devo/dovere,I have to
quella/quello,that
vita/vita,life
quel/quello,that
delle/di + le,from the
tempo/tempo,time
andare/andare,go
certo/certo,Certain
poi/poi,Then
nella/in + la,in the
uomo/uomo,man
signore/signore,Gentleman
ad/a + di,to
po'/poco,bit'
può/potere,can
credo/credere,I believe
voi/voi,you
già/già,Already
adesso/adesso,Now
andiamo/andare,let's go
anni/anno,years
all'/a + l',at
visto/vedere,view
fuori/fuori,out
proprio/proprio,own
parte/parte,part
davvero/davvero,Really
vuole/volere,wants
li/li,there
dell'/di + l',of
sto/stare,this
quanto/quanto,How much
volta/volta,time
via/via,Street
sul/su + il,on the
é/essere,And
dio/Dio,God
sarà/essere,will be
dopo/dopo,After
senza/senza,without
cose/cosa,things
